City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Butaritari,KI,81.16,few clouds,3.0707,172.7902,Isles Sunset Lodge
6,Semnan,IR,82.15,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
7,Mandan,US,88.02,haze,46.8267,-100.8896,Twin City Estates
9,Agadir,MA,77.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
16,Yellowknife,CA,80.29,few clouds,62.456,-114.3525,The Explorer Hotel
17,Tabou,CI,76.33,light rain,4.423,-7.3528,hotêl doufoulougou
19,Atuona,PF,76.75,scattered clouds,-9.8,-139.0333,Villa Enata
21,Ambon,ID,79.05,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
34,Hami,CN,80.22,overcast clouds,42.8,93.45,Laoyutang Resort
41,Hilo,US,79.61,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
43,Senj,HR,83.07,clear sky,44.9894,14.9058,Roza Guest House
47,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Bengkulu,ID,75.09,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
52,Salamiyah,SY,79.03,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
60,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
75,Hambantota,LK,79.29,scattered clouds,6.1241,81.1185,Bungalow 63
80,Calabozo,VE,85.32,broken clouds,8.9242,-67.4293,Hotel Giardini
85,Aksu,CN,75.67,clear sky,41.1231,80.2644,Pudong Holiday Hotel
88,Faanui,PF,77.86,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
92,Lorengau,PG,79.75,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
95,Saint Anthony,US,87.26,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
97,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
98,Kavaratti,IN,81.27,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
105,Dubti,ET,89.58,overcast clouds,11.7361,41.0853,degu Shiferaw
107,Debrecen,HU,75.31,clear sky,47.5333,21.6333,Centrum Hotel
108,Vanimo,PG,76.23,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
109,Bah,IN,85.23,scattered clouds,26.87,78.5975,Chambal Wildlife Safari Lodge
111,Angoche,MZ,75.0,broken clouds,-16.2325,39.9086,Guest House HESADA
112,Gizo,SB,81.32,overcast clouds,-8.103,156.8419,Imagination Island
119,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
120,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
121,Kavieng,PG,80.65,light rain,-2.5744,150.7967,Nusa Island Retreat
122,Aklavik,CA,75.92,overcast clouds,68.2191,-135.0107,Aklavik Inn
127,Ano Mera,GR,89.67,clear sky,37.45,25.4,Hotel La Résidence Mykonos
131,Shingu,JP,77.92,scattered clouds,33.7333,135.9833,Shingu UI Hotel
132,Samborondon,EC,80.6,broken clouds,-1.95,-79.7333,Diamante Motel
133,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
137,Fort Nelson,CA,80.19,few clouds,58.8053,-122.7002,The Fort Nelson Hotel
139,Madang,PG,75.06,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
141,Wad Madani,SD,75.49,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
151,Cravo Norte,CO,81.52,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
156,Sulangan,PH,83.95,broken clouds,11.1373,123.7228,Maia's Beach Resort
159,Gotsu,JP,76.3,scattered clouds,35.0,132.2167,Yurusato
160,Cabra,ES,80.04,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
161,Sabang,ID,82.99,overcast clouds,5.8933,95.3214,Hotel Citra
163,Vila Franca Do Campo,PT,77.41,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
165,Beyneu,KZ,87.73,clear sky,45.3167,55.2,NUR
167,Shetpe,KZ,82.49,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
168,Lingao,CN,82.08,overcast clouds,19.9103,109.6859,Lingao Ditai Inn
172,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Udaya Boys Hostel
175,San Pedro,PH,82.15,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
176,Gallup,US,83.16,scattered clouds,35.5281,-108.7426,El Capitan Motel
177,Bafq,IR,88.93,clear sky,31.6128,55.4107,Alamdar Hotel
178,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
181,Bardiyah,LY,80.83,clear sky,31.7561,25.0865,بورتو بردية
