City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Butaritari,KI,3.0707,172.7902,81.16,75,14,6.04,few clouds
1,Jijiga,ET,9.35,42.8,63.61,61,57,16.8,broken clouds
2,Punta Arenas,CL,-53.15,-70.9167,42.91,56,0,16.11,clear sky
3,Rikitea,PF,-23.1203,-134.9692,70.63,71,4,9.89,clear sky
4,Rudbar,AF,30.15,62.6,86.2,14,0,12.03,clear sky
5,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,94,75,3.44,broken clouds
6,Semnan,IR,35.5729,53.3971,82.15,36,45,7.65,scattered clouds
7,Mandan,US,46.8267,-100.8896,88.02,31,20,5.75,haze
8,Lebu,CL,-37.6167,-73.65,51.91,68,0,15.7,clear sky
9,Agadir,MA,30.4202,-9.5982,77.45,59,2,4.74,clear sky
10,Ushuaia,AR,-54.8,-68.3,44.26,57,75,24.16,light rain
11,Airai,TL,-8.9266,125.4092,58.24,90,60,3.62,broken clouds
12,Saint-Joseph,RE,-21.3667,55.6167,68.38,78,12,14.09,few clouds
13,Chake Chake,TZ,-5.2459,39.7666,74.17,81,37,12.55,scattered clouds
14,Tiksi,RU,71.6872,128.8694,39.94,91,93,8.1,overcast clouds
15,Awjilah,LY,29.1081,21.2869,91.02,24,0,20.76,clear sky
16,Yellowknife,CA,62.456,-114.3525,80.29,53,20,9.22,few clouds
17,Tabou,CI,4.423,-7.3528,76.33,86,93,11.5,light rain
18,Bluff,NZ,-46.6,168.3333,47.8,95,100,5.44,light rain
19,Atuona,PF,-9.8,-139.0333,76.75,70,40,12.97,scattered clouds
20,Ulaangom,MN,49.9811,92.0667,58.01,71,100,3.91,overcast clouds
21,Ambon,ID,-3.6954,128.1814,79.05,83,27,7.18,moderate rain
22,Dikson,RU,73.5069,80.5464,42.39,96,100,13.22,light rain
23,Narsaq,GL,60.9167,-46.05,62.82,70,19,4.14,few clouds
24,Hobart,AU,-42.8794,147.3294,48.06,71,6,3.0,light rain
